evidence_granularity,run_id,run_start_utc,run_end_utc,timezone,system,commit,source,query_or_partition,time_frame,date_created_window_utc,page_or_offset,requested_limit,requests,rows_returned,unique_provider_job_ids,within_page_duplicates,cross_page_duplicates,cross_query_duplicates,previously_seen_jobs,net_new_jobs_admitted,stop_reason,provider_reported_total,provider_quota_after_request,evidence_source,notes
run x profile (derived: 2026-09-18T19:51Z snapshot minus 2026-09-17T09:00Z ledger),20260918T080328.515978Z-807e4ff1,2026-09-18T08:03:28Z,2026-09-18T08:47:56Z,UTC,tgtc_core (current deployed path),be3af32,/v1/active-jb + /v1/active-ats,profile=priority_v1,7d,1h fresh / 24h backfill partitions (values not exported),1 page per slot (offsets not exported),100,8 [8 (slot schedule: 4 active-jb + 4 active-ats)],715,not_recorded,not_recorded,not_recorded,not_recorded,96 (returned but not first-seen),619,"round 1 used all 10 slots; round 2 refused: TGTC spend budget 1,000 rows/24h exhausted",not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z + ledger in TGTC saved Railway log export 2026-09-17; run log of 20260918T080328,No other acquisition ran between the two snapshots (ledger at 2026-09-18T06:40Z still showed 42 requests)
run x profile (derived: 2026-09-18T19:51Z snapshot minus 2026-09-17T09:00Z ledger),20260918T080328.515978Z-807e4ff1,2026-09-18T08:03:28Z,2026-09-18T08:47:56Z,UTC,tgtc_core (current deployed path),be3af32,/v1/active-jb + /v1/active-ats,profile=discovery_v1,7d,1h fresh / 24h backfill partitions (values not exported),1 page per slot (offsets not exported),100,2 [2 (slot schedule: 1 active-jb + 1 active-ats)],200,not_recorded,not_recorded,not_recorded,not_recorded,67 (returned but not first-seen),133,"round 1 used all 10 slots; round 2 refused: TGTC spend budget 1,000 rows/24h exhausted",not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z + ledger in TGTC saved Railway log export 2026-09-17; run log of 20260918T080328,No other acquisition ran between the two snapshots (ledger at 2026-09-18T06:40Z still showed 42 requests)
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-ats,profile=discovery_v1 lane=backfill state=open partitions=9,7d,2026-09-07 13:00:00 -> 2026-09-16 13:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),0,0,not_recorded,not_recorded,not_recorded,not_recorded,0,0,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-ats,profile=discovery_v1 lane=fresh state=open partitions=40,7d,2026-09-16 13:00:00 -> 2026-09-18 05:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),4,400,not_recorded,not_recorded,not_recorded,not_recorded,188,212,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-ats,profile=legacy_v1 lane=backfill state=open partitions=4,7d,2026-09-12 01:00:00 -> 2026-09-16 01:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),0,0,not_recorded,not_recorded,not_recorded,not_recorded,0,0,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-ats,profile=legacy_v1 lane=fresh state=open partitions=13,7d,2026-09-16 01:00:00 -> 2026-09-16 14:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),0,0,not_recorded,not_recorded,not_recorded,not_recorded,0,0,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-ats,profile=priority_v1 lane=backfill state=open partitions=9,7d,2026-09-07 13:00:00 -> 2026-09-16 13:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),3,300,not_recorded,not_recorded,not_recorded,not_recorded,0,300,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-ats,profile=priority_v1 lane=fresh state=complete partitions=4,7d,2026-09-17 02:00:00 -> 2026-09-18 05:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),8,572,not_recorded,not_recorded,not_recorded,not_recorded,0,572,partition state=complete,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-ats,profile=priority_v1 lane=fresh state=open partitions=36,7d,2026-09-16 13:00:00 -> 2026-09-18 04:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),5,500,not_recorded,not_recorded,not_recorded,not_recorded,0,500,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-jb,profile=discovery_v1 lane=backfill state=open partitions=9,7d,2026-09-07 13:00:00 -> 2026-09-16 13:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),0,0,not_recorded,not_recorded,not_recorded,not_recorded,0,0,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-jb,profile=discovery_v1 lane=fresh state=open partitions=40,7d,2026-09-16 13:00:00 -> 2026-09-18 05:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),4,400,not_recorded,not_recorded,not_recorded,not_recorded,151,249,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-jb,profile=legacy_v1 lane=backfill state=open partitions=4,7d,2026-09-12 01:00:00 -> 2026-09-16 01:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),0,0,not_recorded,not_recorded,not_recorded,not_recorded,0,0,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-jb,profile=legacy_v1 lane=fresh state=open partitions=12,7d,2026-09-16 02:00:00 -> 2026-09-16 14:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),11,1050,not_recorded,not_recorded,not_recorded,not_recorded,0,1050,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-jb,profile=legacy_v1 lane=fresh state=open partitions=1 last_error=http_response:http_400,7d,2026-09-16 01:00:00 -> 2026-09-16 02:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),0,0,not_recorded,not_recorded,not_recorded,not_recorded,0,0,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-jb,profile=priority_v1 lane=backfill state=open partitions=9,7d,2026-09-07 13:00:00 -> 2026-09-16 13:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),3,300,not_recorded,not_recorded,not_recorded,not_recorded,96,204,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-jb,profile=priority_v1 lane=fresh state=complete partitions=2,7d,2026-09-17 04:00:00 -> 2026-09-18 05:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),7,613,not_recorded,not_recorded,not_recorded,not_recorded,0,613,partition state=complete,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
partition group cumulative @2026-09-18T19:51Z,all core runs,2026-09-16,2026-09-18T19:51Z,UTC,tgtc_core,various canary builds -> be3af32,fantastic:active-jb,profile=priority_v1 lane=fresh state=open partitions=38,7d,2026-09-16 13:00:00 -> 2026-09-18 04:00:00 (window starts range),not_recorded,100 (50 on first 09-16 pages),6,600,not_recorded,not_recorded,not_recorded,not_recorded,0,600,partition state=open,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (source_partitions),open = not yet paged to a short page; complete = a page returned fewer rows than limit
page-size distribution cumulative @2026-09-18T19:51Z,all core runs,not_recorded,not_recorded,UTC,tgtc_core,not_recorded,fantastic:active-ats,profile=discovery_v1,not_recorded,not_recorded,rows/page min=100 max=100,not_recorded,4,400,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,short pages (fewer rows than limit)=0,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (page_receipts),
page-size distribution cumulative @2026-09-18T19:51Z,all core runs,not_recorded,not_recorded,UTC,tgtc_core,not_recorded,fantastic:active-jb,profile=discovery_v1,not_recorded,not_recorded,rows/page min=100 max=100,not_recorded,4,400,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,short pages (fewer rows than limit)=0,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (page_receipts),
page-size distribution cumulative @2026-09-18T19:51Z,all core runs,not_recorded,not_recorded,UTC,tgtc_core,not_recorded,fantastic:active-jb,profile=legacy_v1,not_recorded,not_recorded,rows/page min=50 max=100,not_recorded,11,1050,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,short pages (fewer rows than limit)=0,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (page_receipts),
page-size distribution cumulative @2026-09-18T19:51Z,all core runs,not_recorded,not_recorded,UTC,tgtc_core,not_recorded,fantastic:active-ats,profile=priority_v1,not_recorded,not_recorded,rows/page min=8 max=100,not_recorded,16,1372,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,short pages (fewer rows than limit)=4,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (page_receipts),
page-size distribution cumulative @2026-09-18T19:51Z,all core runs,not_recorded,not_recorded,UTC,tgtc_core,not_recorded,fantastic:active-jb,profile=priority_v1,not_recorded,not_recorded,rows/page min=41 max=100,not_recorded,16,1513,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,short pages (fewer rows than limit)=2,not_recorded,not_recorded,TGTC read-only database snapshot 2026-09-18T19:51Z (page_receipts),
run,20260904T130130Z-13b44a0c,2026-09-04T13:01:30Z,not_recorded,UTC,legacy run_orchestrator (paused since 2026-09-09),8291a093a94f,Fantastic active-jb + active-ats (+ Wellfound/YC),canonical 7d window (no per-source cursor in this build),7d,not_recorded,not_recorded,not_recorded,not_recorded,6205,6205,not_recorded,not_recorded,0,not_recorded,6205,topup:max_iterations_guard,not_recorded,not_recorded,repo acceptance/evidence/20260906/log_corpus/run_artifacts/20260904T130130Z-13b44a0c,781 Airtable rows created (contact-level rows); ~10-day backlog cohort
run,20260905T030439Z-1d102bec,2026-09-05T03:04:39Z,not_recorded,UTC,legacy run_orchestrator (paused since 2026-09-09),b31e55a24f39,active-ats + active-jb(linkedin),same reused window; offsets_at_open {},7d,not_recorded,offset 0 -> 100 on both sources,100,not_recorded,200,not_recorded,not_recorded,not_recorded,200,200,0,no_new_ids,not_recorded,not_recorded,repo acceptance/ACQUISITION_CAPACITY_2026-09-06.md (continuation section); run_artifacts/20260905T030439Z-1d102bec,Every row of the first page was already acquired by the 09-04 run
run x source,20260906T030230Z-2f74ac7c,2026-09-06T03:02:30Z,2026-09-06T03:16:33Z,UTC,legacy run_orchestrator (paused since 2026-09-09),83fa99373731,fantastic_jobs_ats (/v1/active-ats),"reused window (window_reused=True, watermark_committed=False)",7d,2026-08-30T03:03:20Z -> 2026-09-04T10:02:11Z (lower clamped to run_start-7d),offset 100 -> 2822,100,28,2722,not_recorded,not_recorded,not_recorded,2722,2722,0,cap_reached,not_recorded,jobs_quota_remaining=77642 (end of run),repo acceptance/ACCEPTANCE_2026-09-06.md lines 55-62,novelty=0.0%; run_cap 5444 from TGTC governor
run x source,20260906T030230Z-2f74ac7c,2026-09-06T03:02:30Z,2026-09-06T03:16:33Z,UTC,legacy run_orchestrator (paused since 2026-09-09),83fa99373731,fantastic_jobs_linkedin (/v1/active-jb),"reused window (window_reused=True, watermark_committed=False)",7d,2026-08-30T03:03:20Z -> 2026-09-04T10:02:11Z (lower clamped to run_start-7d),offset 100 -> 2822,100,28,2722,not_recorded,not_recorded,not_recorded,2496,2496,226,cap_reached,not_recorded,jobs_quota_remaining=77642 (end of run),repo acceptance/ACCEPTANCE_2026-09-06.md lines 55-62,novelty=8.3%; run_cap 5444 from TGTC governor
run x source,20260906T030230Z-2f74ac7c,not_recorded,not_recorded,UTC,legacy run_orchestrator (paused since 2026-09-09),83fa99373731,fantastic_jobs_wellfound,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,already_drained_this_window,not_recorded,not_recorded,repo acceptance/ACCEPTANCE_2026-09-06.md lines 59-60,not_recorded
run x source,20260906T030230Z-2f74ac7c,not_recorded,not_recorded,UTC,legacy run_orchestrator (paused since 2026-09-09),83fa99373731,fantastic_jobs_ycombinator,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,already_drained_this_window,not_recorded,not_recorded,repo acceptance/ACCEPTANCE_2026-09-06.md lines 59-60,not_recorded
run,20260907T062915Z-f79f4de1,2026-09-07T06:29:15Z,2026-09-07T06:45:27Z,UTC,legacy run_orchestrator (paused since 2026-09-09),43ee7ba,Fantastic (date_created slice cursor),not_recorded,7d,not_recorded,not_recorded,not_recorded,not_recorded,500,328,not_recorded,not_recorded,172,172,328,topup:apollo_circuit_open (TGTC-side enrichment stop),not_recorded,not_recorded,repo acceptance/SYSTEM_CLOSEOUT_2026-09-07.md line 122; acceptance/PROGRESS.md run table,28 contact-level Airtable rows created
run x source,20260908T030247Z-e711a350,2026-09-08T03:02:47Z,2026-09-08T07:58:40Z,UTC,legacy run_orchestrator (paused since 2026-09-09),c30178d,fantastic_jobs_ats,6h date_created slices; slices 0+14/14 drained attempted=14 billed=3168 kept=329 budget_exhausted=False,7d,2026-09-01T03:03:43Z -> 2026-09-04T10:02:11Z (window_reused=True),offset restarts at 0 inside each slice,100 (smaller on a budget-limited last page),40,3168,329,0,not_recorded,x_source=0,2839,329,short_page,not_recorded,jobs_quota_remaining=71898 (end of run),TGTC saved run log 20260908T030247Z RUN SUMMARY (lines 127-170),previously_seen = billed - kept (rows dropped by the adapter as already acquired); novelty=10.39%; drained=True
run x source,20260908T030247Z-e711a350,2026-09-08T03:02:47Z,2026-09-08T07:58:40Z,UTC,legacy run_orchestrator (paused since 2026-09-09),c30178d,fantastic_jobs_linkedin,6h date_created slices; slices 0+7/14 drained attempted=8 billed=1976 kept=310 budget_exhausted=True,7d,2026-09-01T03:03:43Z -> 2026-09-04T10:02:11Z (window_reused=True),offset restarts at 0 inside each slice,100 (smaller on a budget-limited last page),23,1976,310,0,not_recorded,x_source=0,1666,310,short_page,not_recorded,jobs_quota_remaining=71898 (end of run),TGTC saved run log 20260908T030247Z RUN SUMMARY (lines 127-170),previously_seen = billed - kept (rows dropped by the adapter as already acquired); novelty=15.69%; drained=False
run x source,20260908T030247Z-e711a350,2026-09-08T03:02:47Z,2026-09-08T07:58:40Z,UTC,legacy run_orchestrator (paused since 2026-09-09),c30178d,fantastic_jobs_wellfound,6h date_created slices,7d,2026-09-01T03:03:43Z -> 2026-09-04T10:02:11Z (window_reused=True),offset restarts at 0 inside each slice,100 (smaller on a budget-limited last page),0,0,0,None,not_recorded,x_source=0,0,0,no_run_budget,not_recorded,jobs_quota_remaining=71898 (end of run),TGTC saved run log 20260908T030247Z RUN SUMMARY (lines 127-170),previously_seen = billed - kept (rows dropped by the adapter as already acquired); novelty=n/a%; drained=True
run x source,20260908T030247Z-e711a350,2026-09-08T03:02:47Z,2026-09-08T07:58:40Z,UTC,legacy run_orchestrator (paused since 2026-09-09),c30178d,fantastic_jobs_ycombinator,6h date_created slices,7d,2026-09-01T03:03:43Z -> 2026-09-04T10:02:11Z (window_reused=True),offset restarts at 0 inside each slice,100 (smaller on a budget-limited last page),0,0,0,None,not_recorded,x_source=0,0,0,no_run_budget,not_recorded,jobs_quota_remaining=71898 (end of run),TGTC saved run log 20260908T030247Z RUN SUMMARY (lines 127-170),previously_seen = billed - kept (rows dropped by the adapter as already acquired); novelty=n/a%; drained=True
run,20260908T030247Z-e711a350,2026-09-08T03:02:47Z,2026-09-08T07:58:40Z,UTC,legacy run_orchestrator (paused since 2026-09-09),c30178d,all Fantastic sources,not_recorded,7d,not_recorded,not_recorded,not_recorded,not_recorded,5144,639,not_recorded,not_recorded,4505,4505,639,apollo_circuit_open (TGTC-side enrichment stop),not_recorded,jobs_quota_remaining=71898,TGTC saved run log 20260908T030247Z lines 112-126,run_cap 5144 from TGTC governor; 3 date_created slices conceded as expired; 448 contact-level Airtable rows created (129 from Fantastic rows)
run,20260909T030330Z-663c0e9b,2026-09-09T03:03:30Z,not_recorded,UTC,legacy run_orchestrator (paused since 2026-09-09),8177270,all lanes,not_recorded,7d,not_recorded,not_recorded,not_recorded,not_recorded,4651,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,3508,not_recorded,not_recorded,not_recorded,TGTC reporting reconciliation file (2026-09-09) runs[],Last legacy run before the pause; per-source split not in saved evidence; 0 Airtable rows (Apollo exhausted)
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,linkedin,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-05T11:37:46Z -> 2026-09-06T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,327,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,wellfound,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-05T11:37:46Z -> 2026-09-06T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,6,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ycombinator,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-05T11:37:46Z -> 2026-09-06T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,2,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ats,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-05T11:37:46Z -> 2026-09-06T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,111,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
