company_name,occurrences,role_buckets,sources,evidence_available,proposed_domain,confidence,safe_to_add_automatically,notes
Aurrera Health Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"ExactCare Pharmacy, LLC",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
mercor,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
NightOwl Consulting,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Fortive,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"J29, Inc",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Hitapps,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Premier Inc.,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
The Cigna Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Quicken Loans,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Cisco,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
micro1,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Twilio,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Descript,1,gtm_revenue,weworkremotely,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Skinventory,1,gtm_revenue,remoteok,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Siemens Healthineers,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
For Our Future Action Fund,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Legend,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Tempus,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
SailPoint,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Customertimes,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
talentpluto,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,intermediary/staffing - exclude
BSI,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Reserv,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
ShopMy,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Precision for Medicine,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Haweo,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Defy Medical,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
eCapital,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
HBX Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
ABN Innovations,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Dijital Team Pty Ltd,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Jito Foundation,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Red Hat,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
EPS Learning,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Hraymo,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Mosaic Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Fit4Me,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Redwood Software,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Guidehealth,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
AbbVie,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
HireVue Inc,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Protective,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Turnitin, LLC",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Hone Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Clickhouse,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Power Digital Marketing,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sopra Steria,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Globalization Partners,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Macy's,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sedgwick Claims Management Services Inc.,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Software Mind,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
WSP Africa,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Kavak,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Everise,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Trans Lifeline,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sphera,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sumer,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Checkmarx,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Vaya Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Centene Corporation,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Zillow Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Mekari,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Venon Solutions,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Securly,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Comcast,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
DEPT®,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Riskonnect,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Navitus Health Solutions,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
SiTime,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Symbria,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Epic Staffing Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,intermediary/staffing - exclude
Array,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Barclays,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Tidelands Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
PCI Pharma Services,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Abacus Consulting,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Siteline,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Solflare,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Qurate Retail Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Arco Educação,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Growe,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
GitLab,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
United-Biosource-Corporation,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Cardinal Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Ryz Labs,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
SolutionHealth,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Ubiminds,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Reddit,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
CECO Environmental,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Newfold Digital,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
DataRobot,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
EverDriven,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Ergomed,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Twingate,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Ipas,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
GAF,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Zoom Communications, Inc.",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Wiley,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Brafton,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Via,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
FleetPride,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Pacvue,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
LUZA Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Western Alliance Bank,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Galileo, Inc.",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
