company,domain,company_employee_count,company_industry,icp_status,role_bucket,hiring_manager_buckets,relevant_job_title,job_url,job_source,num_relevant_jobs_at_company,num_distinct_functions_at_company,apollo_people_search_attempted,candidate_people_returned,title_matched_candidates,person_match_attempts,candidate_rejected_reason,hm_failure_reason,final_disposition,notes
W3care,w3care.com,65,information technology & services,PASS,ecommerce,ecommerce,Shopify Developer,https://bebee.com/us/jobs/shopify-developer-w3care-technologies-seattle--lensa-2365_1ed1bf67ce66a8e324788a8e8a178270142d30c70ae0d3a0e91447ad48ba863d,,2,1,True,2,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
Sares Regis Group,sares-regis.com,770,real estate,PASS,customer_support,customer_support,Community Manager,https://bebee.com/us/jobs/community-manager-sares-regis-group-issaquah--lifeworq-e66819c2-9ac8-400c-843c-776fe2a17dd4,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Surya Carpet,suryacarpet.net,,,NEEDS_CHECK,marketing,marketing,Social Media Manager,https://bebee.com/us/jobs/social-media-manager-surya-carpet-mt-berry--lensa-7428_14ee8243765f74656b48f91812b95ed2bbc2af711fc1426cfc2c279cd5bc6dad,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Lessard Design Inc.,lessarddesign.com,120,architecture & planning,PASS,marketing,marketing,Marketing Coordinator,https://www.linkedin.com/jobs/view/marketing-coordinator-at-lessard-design-inc-4448470659,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
WorldTrips® Travel Insurance,worldtrips.com,100,insurance,PASS,people_hr,people_hr,Recruiting Coordinator,https://bebee.com/us/jobs/recruiting-coordinator-worldtrips-carmel--lensa-7428_2701fa947c46db0bb31ca73df1839997fe1a05ae194d1f2b2a584828c9cc591a,,1,1,True,1,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
Earthwise Environmental Solutions LLC,earthwisees.com,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Inside Sales Representative,https://bebee.com/us/jobs/inside-sales-representative-earthwise-environmental-solutions-llc-bentleyville--lensa-19327_cd99814b8e4593f4554488916448a7b1ebae46658f3b0c47222bc4f6b11f1d10,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
C.P. Hart,cphart.co.uk,280,retail,PASS,gtm_revenue,gtm_revenue,CRM Administrator,https://builtin.com/job/crm-administrator/10558997,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
"Pixels Infotech Pvt Ltd.,",pixelsinfotech.com,,,NEEDS_CHECK,marketing,marketing,Web Designer,https://bebee.com/us/jobs/web-designer-pixels-infotech-oakland--lensa-7428_dd514b6ec80340633959395ac4ea64fc4c163d4318eaa35f6b0d8e9ab2bfd8b7,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
R2 Global,r2-global.com,82,information technology & services,PASS,ecommerce,ecommerce,Ecommerce Manager,https://www.linkedin.com/jobs/view/ecommerce-manager-at-r2-global-4449105224,,1,1,True,1,1,0,UNVERIFIED_OFFICIAL_SOURCE,all_candidates_previously_attempted,UNVERIFIED,
Five Star Bank - California,fivestarbank.com,210,banking,PASS,marketing,marketing,Marketing Automation Specialist,https://jobs.digitalhire.com/job-listing/opening/5dAjQkhT3x8DTBRMfpFMPO,,1,1,True,2,1,0,UNVERIFIED_OFFICIAL_SOURCE,all_candidates_previously_attempted,UNVERIFIED,
Kedia Capital Services Private Limited,kediacapital.com,160,financial services,PASS,customer_support,customer_support,Customer Experience Specialist,https://bebee.com/us/jobs/customer-experience-specialist-kedia-chesapeake--lensa-7428_428b1919247fbed794b6f100f2cf5e2fda3035835450ebabfc6889be5df1324e,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Cocomint Inc.,cocomintbeauty.com,,,NEEDS_CHECK,marketing,marketing,Performance Marketing Associate,https://www.linkedin.com/jobs/view/performance-marketing-associate-at-cocomint-inc-4448565997,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
adidas,adidas-group.com,,,NEEDS_CHECK,marketing,marketing,Adidas Performance Marketing Specialist,https://www.talent.com/view?id=631573691769228581,,2,1,True,100,90,8,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
REI Systems,reisystems.com,860,information technology & services,PASS,marketing,marketing,Graphic Designer,https://www.linkedin.com/jobs/view/graphic-designer-at-rei-systems-4449929550,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Workada,workada.com,74,information technology & services,PASS,engineering,data,Data Labeling Specialist: Remote Contract,https://bebee.com/us/jobs/data-labeling-specialist-remote-contract-workada-riverdale-md--jooble--2611021166921339382,,4,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
"CBX Solutions, LLC",cbxsolutions.com,650,construction,PASS,finance,finance,Service Contract Billing Specialist,https://www.linkedin.com/jobs/view/service-contract-billing-specialist-at-cbx-solutions-llc-4449931334,,3,2,True,2,2,0,UNVERIFIED_OFFICIAL_SOURCE,all_candidates_previously_attempted,UNVERIFIED,
"CBX Solutions, LLC",cbxsolutions.com,650,construction,PASS,people_hr,people_hr,Sales Compensation Analyst,https://www.linkedin.com/jobs/view/sales-compensation-analyst-at-cbx-solutions-llc-4450269997,,3,2,True,2,2,2,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
Twine,twine.net,190,information technology & services,PASS,marketing,marketing,Freelance Copywriter,https://www.twine.net/projects/b9o2v0-we-need-a-video-editor-to-combine-existing-video-clips-into-a-finished-narrated-informational-video-video-editor-in-new-paltz-united-states-job,,3,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
SecurityScorecard,securityscorecard.com,580,information technology & services,PASS,people_hr,people_hr,"Compensation Analyst, Revenue Operations",https://www.linkedin.com/jobs/view/compensation-analyst-revenue-operations-at-securityscorecard-4450201086,,3,1,True,3,2,0,UNVERIFIED_OFFICIAL_SOURCE,all_candidates_previously_attempted,UNVERIFIED,
LeoLabs,leolabs.space,120,defense & space,PASS,people_hr,people_hr,Strategic Technical Recruiter for AI & Space Tech,https://bebee.com/us/jobs/strategic-technical-recruiter-for-ai-space-tech-leolabs-inc-washington--lensa-7428_dcdfc520db146d1177eeedd419a59bff32f48433418b201ab27b63df6c6fd139,,3,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
HomeServices of America,homeservices.com,370,real estate,PASS,customer_support,customer_support,Customer Experience Specialist – Property Management Support,https://www.jobleads.com/us/job/customer-experience-specialist-property-management-support--fredericksburg--ea56284da4566905719e13ca9072ea50b,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Circle K,circlek.eu,150,retail,PASS,customer_support,customer_support,Customer Service Representative,https://workwithus.circlek.com/global/en/job/CIKCGLOBALR610148EXTERNALENGLOBAL/Customer-Service-Representative,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
"American Pest Control, Inc.",ampest.com,130,environmental services,PASS,finance,finance,Senior Collections Specialist,https://www.linkedin.com/jobs/view/senior-collections-specialist-at-american-pest-4449084927,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Inteletech Global Inc,inteletechglobal.com,45,staffing & recruiting,PASS,people_hr,people_hr,People Operations Specialist Employee Experience & HR Support,https://bebee.com/us/jobs/people-operations-specialist-employee-experience-hr-support-inteletech-global-inc-draper--lensa-7428_54abb08f143adf94e9d84bb883194109e67ca4731e9cb87240c9a0ef94ab2535,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Kurppa Hosk,kurppahosk.com,200,design,PASS,marketing,marketing,"[""Motion Designer"",""Motion Designer""]",https://www.careerbuilder.com/job-details/-motion-designer-motion-designer-chicago-il--e1f5ee34-914c-4840-81ad-eec1e38f687b,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Thermomix® USA,thermomix.com,190,mechanical or industrial engineering,PASS,ecommerce,ecommerce,Shopify Developer — Growth-Focused eCommerce Experience,https://www.jobleads.com/us/job/shopify-developer-growth-focused-ecommerce-experience--dallas--ee97828e8ae05e9b97c1803f502cbc32e,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Vanguard Phoenix,vanguardjobs.com,,financial services,NEEDS_CHECK,engineering,engineering,Senior Mobile DevOps Engineer,https://www.vanguardjobs.com/job/23661277/senior-mobile-devops-engineer-malvern-pa/,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Dreamscape Learn,dreamscapelearn.com,120,education management,PASS,engineering,engineering,QA Analyst II (Contract),https://www.qajobs.co/jobs/qa-analyst-ii-contract-c0Cnm7AwLl,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Soho Square Solutions,sohosquaresolutions.com,170,management consulting,PASS,engineering,data,PostgreSQL Database Administrator (remote),https://bebee.com/us/jobs/postgresql-database-administrator-remote-soho-square-solutions-oberlin--fj-2294338622,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Horizon Goodwill Industries,horizongoodwill.org,600,civic & social organization,PASS,finance,finance,"AP/AR Specialist: Payables, Receivables & Reconciliations",https://bebee.com/us/jobs/ap-specialist-payables-receivables-reconciliations-horizon-goodwill-industries-hagerstown--lensa-7428_6ecdf74f1b59b7c73587b6efff416628820a97b1de56a9dd4c45c80f347900bd,,1,1,True,5,5,0,UNVERIFIED_OFFICIAL_SOURCE,all_candidates_previously_attempted,UNVERIFIED,
Compass Group,compass-usa.com,,,NEEDS_CHECK,finance,finance,BOOKKEEPER ADMINISTRATIVE (FULL TIME),https://jobs.compassgroupcareers.com/United_States/job/Decorah-BOOKKEEPER-ADMINISTRATIVE-%28FULL-TIME%29-IA-52101/1415842300/,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Claritus Solutions Group,claritus-group.com,,,NEEDS_CHECK,finance,finance,Part-Time Bookkeeper (Remote),https://bebee.com/us/jobs/part-time-bookkeeper-remote-claritus-accounting-group-evanston--lensa-2365_e510f6e44065242391303fbb02ce7aa0126dde434cf105b70774fa778e35f2fe,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Bridgeline Solutions,bridgelinesolutions.com,,,NEEDS_CHECK,finance,finance,Billing Specialist (Temp to Perm),https://www.linkedin.com/jobs/view/billing-specialist-temp-to-perm-at-bridgeline-solutions-4448014810,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Serco USA,serco-tools.com,,,NEEDS_CHECK,finance,finance,Closeout Billing Specialist,https://careers.serco-na.com/us/en/job/SUPSUAUS33189EXTERNALENUS/Closeout-Billing-Specialist,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
StudioBinder Inc.,studiobinder.com,26,entertainment,PASS,marketing,marketing,StudioBinder is hiring: Content Marketing Specialist in Santa Monica,https://jobs.digitalhire.com/job-listing/opening/1EFsRpxNFvLpF0KzP8tlXF,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Future Caucus,futurecaucus.org,29,political organization,PASS,marketing,marketing,Social Media Copywriter (Contract),https://www.linkedin.com/jobs/view/social-media-copywriter-contract-at-future-caucus-4446281271,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
3 Little Birds Interactive,3littlebirdsinteractive.com,,,NEEDS_CHECK,marketing,marketing,Growth Marketing Manager US Expansion,https://bebee.com/us/jobs/growth-marketing-manager-us-expansion-3-little-birds-interactive-totowa--lensa-7428_f4def3aa858382d61060c0eeb4818b42d0531aaf7c28ebe325c470ee1679f460,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
zeelva,zeelva.store,,,NEEDS_CHECK,marketing,marketing,Freelance Paid Media Manager,https://www.linkedin.com/jobs/view/freelance-paid-media-manager-at-zeelva-4449996958,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Integrated Cooling Solutions,integratedcooling.com,130,machinery,PASS,marketing,marketing,Remote Senior PPC Specialist: Google Ads & YouTube Growth,https://bebee.com/us/jobs/remote-senior-ppc-specialist-google-ads-youtube-growth-integratedcooling-washington--lensa-7428_16ceb0ffc3bfebad8492786a93096ef1725bc674ce1bc726233b02438c450eda,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Haypp Group,hayppgroup.com,290,retail,PASS,marketing,marketing,Arlington-Based Ecommerce SEO Specialist for Growth,https://bebee.com/us/jobs/arlington-based-ecommerce-seo-specialist-for-growth-haypp-group-arlington--lensa-7428_c175c463032c0abf8ef3ac891799a97d218fc70e9c601c7ce4a2d8afb4702ef9,,1,1,True,1,1,0,UNVERIFIED_OFFICIAL_SOURCE,all_candidates_previously_attempted,UNVERIFIED,
Century Bank,mycenturybank.com,150,banking,PASS,people_hr,people_hr,"[""HR Operations Specialist"",""HR Operations Specialist""]",https://www.monster.com/job-openings/-hr-operations-specialist-hr-operations-specialist-brockton-ma--95b128a6-1537-4c64-999d-1e000cec95b7,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
C4 Technical Services,c4techservices.com,250,information technology & services,PASS,people_hr,people_hr,"Jr. Technical Recruiter Eagan, MN (Onsite)",https://www.talent.com/view?id=630925572853074258,,1,1,True,1,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
Total Comfort Solutions,totalcomfortsolutions.com,160,facilities services,PASS,gtm_revenue,gtm_revenue,In-Store Lead Generation Specialist,https://jobs.womenforhire.com/job/usa/wyndham-va/in-store-lead-generation-specialist-361497/,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Havenpark Communities,havenparkcommunities.com,250,real estate,PASS,gtm_revenue,gtm_revenue,Lead Generation Specialist High-Volume Pipeline,https://bebee.com/us/jobs/lead-generation-specialist-high-volume-pipeline-havenpark-communities-sanger--lensa-7428_a71f1f074604ef05565ec9229db78bed0821bd7adf267e13601fb71dd05fc845,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
The SEER Group,theseergroup.com,68,consumer services,PASS,gtm_revenue,gtm_revenue,Lead Generation Specialist (No Sales Req'd) (55003),https://bebee.com/us/jobs/lead-generation-specialist-no-sales-reqd-55003-seer-group-scappoose--ss-us-1def3sr,,1,1,True,2,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
ComplyAdvantage,complyadvantage.com,460,information technology & services,PASS,gtm_revenue,gtm_revenue,"Deal Desk Analyst: Pricing, Analytics & Ops (Contract)",https://www.jobleads.com/us/job/deal-desk-analyst-pricing-analytics-ops-contract--united-states--ecc099af08cf5f4a32d67b335c0f55dc0,,1,1,True,1,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
Code4lib,code4lib.org,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Tessitura CRM Administrator & Data Steward,https://bebee.com/us/jobs/tessitura-crm-administrator-data-steward-code4lib-washington--lensa-7428_d100a463060c66f7f628d415a24eb063be9a9a5506b44aab8d8d7c9fd65fa8b0,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Semios,semios.com,300,farming,PASS,gtm_revenue,partnerships,Channel Sales and Partnerships Manager,https://www.linkedin.com/jobs/view/channel-sales-and-partnerships-manager-at-semios-4449311794,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
United Soccer League (USL),uslsoccer.com,130,sports,PASS,marketing,marketing,Video Producer & Editor,https://www.teamworkonline.com/soccer-jobs/usl-soccer-jobs/usl-league-office-jobs/video-producer-editor-2183379,,1,1,True,1,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
Mytonomy,mytonomy.com,45,information technology & services,PASS,marketing,marketing,Healthcare Content Writer & Researcher,https://bebee.com/us/jobs/healthcare-content-writer-researcher-mytonomy-bethesda--lensa-7428_a529c6c58902ef61914ca57a7f1649e6f7eecc60343ae9efd9dac3a428cdff09,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
The Tatitlek Corporation,tatitlek.com,610,information technology & services,PASS,product,product,*Technical Writer III*,https://jobs.womenforhire.com/job/usa/port-royal-va/technical-writer-iii-299068/,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Nordic Naturals,nordic.com,370,"health, wellness & fitness",PASS,ecommerce,ecommerce,Sr. E-Commerce Manager,https://www.linkedin.com/jobs/view/sr-e-commerce-manager-at-nordic-naturals-4448271151,,1,1,True,2,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
Purvis Industries,purvisindustries.com,750,mechanical or industrial engineering,PASS,ecommerce,ecommerce,"[""E-Commerce Manager"",""E-Commerce Manager""]",https://www.monster.com/job-openings/-e-commerce-manager-e-commerce-manager-fort-worth-tx--5b07c0a9-166d-409d-9888-1f89856b595d,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Greenbaum Stiers Strategic Marketing Group,greenbaumstiers.com,28,marketing & advertising,PASS,marketing,marketing,Paid Advertising Specialist,https://www.mediabistro.com/jobs/3542847524-paid-advertising-specialist,,1,1,True,1,1,0,UNVERIFIED_OFFICIAL_SOURCE,all_candidates_previously_attempted,UNVERIFIED,
Decisions,decisions.com,330,information technology & services,PASS,marketing,marketing,Senior Paid Media Manager,https://www.jobtarget.com/jobs/jt-gv1z478ln1/senior-paid-media-manager-virginia-beach-virginia,,1,1,True,1,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
"Smart Start, Inc.",smartstartinc.com,550,public safety,PASS,customer_support,customer_support,Remote Retention Specialist,https://bebee.com/us/jobs/remote-retention-specialist-smart-start-inc-blacksburg-va--jooble-7859308823379494709,,4,1,True,2,2,2,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
"Herrschners, Inc.",herrschners.com,51,mechanical or industrial engineering,PASS,marketing,marketing,Email Designer,https://www.linkedin.com/jobs/view/email-designer-at-herrschners-inc-4449141263,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
The Little Clinic,krogerfamilycareers.com,940,"health, wellness & fitness",PASS,ecommerce,ecommerce,e-COMMERCE/DEPARTMENT LEAD,https://www.krogerfamilycareers.com/en/job/214181?utm_medium=search+engine&utm_source=google,,2,2,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
The Little Clinic,krogerfamilycareers.com,940,"health, wellness & fitness",PASS,customer_support,customer_support,e-COMMERCE/CLERK,https://www.krogerfamilycareers.com/en/job/189142?utm_medium=search+engine&utm_source=google,,2,2,True,1,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
Coalition Technologies,coalitiontechnologies.com,320,marketing & advertising,PASS,ecommerce,ecommerce,Shopify Frontend Engineer (Theme & Apps),https://bebee.com/us/jobs/shopify-frontend-engineer-theme-apps-coalition-technologies-louisiana-mo--jooble--931281783913822979,,2,1,True,1,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
Filson,filson.com,350,retail,PASS,customer_success,customer_success,"[""Lifecycle Marketing Manager"",""Lifecycle Marketing Manager""]",https://www.monster.com/job-openings/-lifecycle-marketing-manager-lifecycle-marketing-manager-seattle-wa--2d64ac0e-ac9e-4cc7-a759-a58dfd20a572,,1,1,True,1,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
ScreenBeam Inc.,screenbeam.com,66,information technology & services,PASS,marketing,marketing,Lifecycle Marketing & Ops Specialist (HubSpot + Salesforce),https://bebee.com/us/jobs/lifecycle-marketing-ops-specialist-hubspot-salesforce-screenbeam-inc-san-jose-ca--jooble-8298720224876430579,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Mt. Pleasant Window & Remodeling Co.,mtpleasantwindow.com,26,construction,PASS,operations,operations,Operations Specialist,https://www.simplyhired.com/job/MsECSPWGpnsiFozvwm6pKABYhJ9PTuQReRXhfo6dVwMa28a29EuJrg,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
"Rigaku Americas Holding, Inc.",rigaku-holdings.com,,,NEEDS_CHECK,customer_support,customer_support,Human Resources Advisor,https://startup.jobs/human-resources-advisor-rigaku-americas-holding-inc-8931968,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Infinity by Marvin,infinitywindows.com,110,building materials,PASS,customer_support,customer_support,Brand Ambassador - Lead Generator,https://www.linkedin.com/jobs/view/brand-ambassador-lead-generator-at-infinity-by-marvin-4448133721,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
AutoFair Automotive Group,autofair.com,600,automotive,PASS,customer_support,customer_support,Lead Generation Manager,https://www.linkedin.com/jobs/view/lead-generation-manager-at-autofair-automotive-group-4447330797,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Mindrift,mindrift.ai,750,information technology & services,PASS,engineering,engineering,"Chatbot Developer (WhatsApp, Telegram, Discord) - Freelance",https://www.linkedin.com/jobs/view/chatbot-developer-whatsapp-telegram-discord-freelance-at-mindrift-4448311452,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Kroger,thekrogerco.com,,,NEEDS_CHECK,ecommerce,ecommerce,e-COMMERCE/DEPARTMENT LEAD,https://www.linkedin.com/jobs/view/e-commerce-department-lead-at-kroger-4450629842,,1,1,True,4,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
Beauty Elite Group,beautyelitegroup.com,28,cosmetics,PASS,gtm_revenue,gtm_revenue,Amazon Marketplace Growth Specialist,https://bebee.com/us/jobs/amazon-marketplace-growth-specialist-beauty-elite-group-houston--lensa-7428_fa5b49d934fea0189ec679fb1035be52c815fc104490877f2501bf0be663f4ed,,1,1,True,1,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
Kids Empire,kidsempire.com,490,entertainment,PASS,customer_success,customer_success,Email & Lifecycle Marketing Manager,https://www.linkedin.com/jobs/view/email-lifecycle-marketing-manager-at-kids-empire-4448464790,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
The Kinsley Group,kinsley-group.com,180,oil & energy,PASS,customer_success,customer_success,Customer Onboarding & Success Manager,https://bebee.com/us/jobs/customer-onboarding-success-manager-kinsley-power-systems-londonderry--lensa-7428_12578c08ed1d3d757fca55966c0820f7ea05bc875d9b7c4b9a624e57ee89621b,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Squads,squads.xyz,36,financial services,PASS,customer_success,customer_success,Remote Onboarding Operations Specialist (KYC/Compliance),https://www.jobleads.com/us/job/remote-onboarding-operations-specialist-kyc-compliance--united-states--efb7769a2965410ebd66fe6130020ce02,,1,1,True,2,2,2,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
